id,loyalty,frequency,money,L,F,M,LFM
,0,8.259967923,282,,,,
,1.198609613,8.245786254,366.5,,,,
,0.459066565,8.20393999,576.6666667,,,,
,0.801217851,8.201300397,368,,,,
,0,8.178400226,337,,,,
,0.711794434,8.137190185,641.1666667,,,,
,0,8.130092612,245,,,,
,0.952380952,8.119467757,319,,,,
,0,8.116721072,284.6666667,,,,
,0.805390749,8.109451671,245,,,,
,1.008606778,8.05875917,323.6666667,,,,
,0.908347716,8.053099709,394.5,,,,
,0.608663896,8.047726773,467.7857143,,,,
,0.899604174,8.013087457,724,,,,
,0,7.989738212,253,,,,
,0.915248032,7.950095521,263,,,,
,0.99009901,7.930367821,268,,,,
,0.690261044,7.847258379,596,,,,
,0,7.835592542,427.5,,,,
,0.437965338,7.817471127,739.1428571,,,,
,0.294117647,7.797200004,297.25,,,,
,0.78125,7.792336657,421.5,,,,
,0.34035022,7.763442174,615.25,,,,
,0.586510264,7.738973713,314.7777778,,,,
,0.507266594,7.730133935,502.75,,,,
,0.227728184,7.702432312,410.6666667,,,,
,0.141131309,7.66667236,268.5,,,,
,0.497710532,7.644631763,418,,,,
,1.05965879,7.638745914,410.5,,,,
,0.595912043,7.631753308,181,,,,
,0.929800093,7.608380639,305.5,,,,
,0.651961317,7.593708194,249.8333333,,,,
,0.683480282,7.56167794,282,,,,
,0.606078972,7.555257683,677.5,,,,
,0.6,7.521571682,306,,,,
,0.596955527,7.507850763,1073.166667,,,,
,0.61914393,7.492263772,450.3333333,,,,
,0,7.479457579,314,,,,
,0.832362244,7.460683221,402.6666667,,,,
,0.49937578,7.448455834,567.5,,,,
,0.863557858,7.444414248,314,,,,
,0,7.442073386,231,,,,
,0,7.435052107,877.3333333,,,,
,1.013445037,7.43328796,643.6666667,,,,
,0.783545544,7.410976913,265.5,,,,
,0,7.393918766,665.5,,,,
,0.533495923,7.391168555,421.5714286,,,,
,0,7.384298818,537.625,,,,
,0.398469876,7.384101663,217.4285714,,,,
,1.031069563,7.381910402,743.3333333,,,,
,0.51605978,7.371903456,915.4,,,,
,0.62774639,7.347741054,412,,,,
,0.416077224,7.345633241,300.5,,,,
,0,7.344184277,334.5,,,,
,0.44479309,7.321511131,417.2727273,,,,
,0,7.301772175,664.2857143,,,,
,0.862192844,7.250362143,340.6666667,,,,
,0,7.244790542,306.4,,,,
,0.948586606,7.229432668,455.5,,,,
,0,7.228396219,236,,,,
,1.002908434,7.217197073,922.2222222,,,,
,0.987816925,7.198058284,318.6666667,,,,
,0.831117021,7.194693327,370.5,,,,
,0,7.186909734,325,,,,
,0.728756741,7.156963452,267,,,,
,0.412262331,7.152859327,732.4,,,,
,0,7.13821031,343.3333333,,,,
,0.647013152,7.123623445,204.1818182,,,,
,0.401429088,7.110189745,339.5,,,,
,0.212413442,7.101251232,593,,,,
,0.770772314,7.093626084,400.6666667,,,,
,0.806516655,7.091255549,390.3,,,,
,0.107106517,7.081926456,372,,,,
,0,7.075812483,431.6666667,,,,
,0.394975906,7.043241205,718.1428571,,,,
,0,7.020671619,541.8,,,,
,0.71175936,7.017683844,378.8461538,,,,
,0.55959709,7.007027069,648,,,,
,0.995619275,7.003156605,256.5,,,,
,0.386647764,6.993302579,445.3333333,,,,
,0,6.975020799,245,,,,
,0.8645284,6.960530905,285,,,,
,0.191994593,6.951510652,268,,,,
,1.012624046,6.949299889,314.6666667,,,,
,0,6.909561802,301.3333333,,,,
,0.411878578,6.905802936,282,,,,
,0.548410979,6.889518399,504.8333333,,,,
,0.309969391,6.871142031,370.375,,,,
,0.478257231,6.866799691,523.625,,,,
,0.433125433,6.854745679,324.6666667,,,,
,0,6.850129695,332.6666667,,,,
,0.681446484,6.829835979,229.6666667,,,,
,0.804394291,6.825739344,521.7142857,,,,
,0.393987747,6.8245996,673.375,,,,
,0.912283903,6.814231404,483.5,,,,
,0.814844132,6.810378043,317.7142857,,,,
,0.98697197,6.807076228,293.5,,,,
,1.022285831,6.806933431,418,,,,
,0.682081713,6.791210844,471.5,,,,
,0,6.765778387,1177.833333,,,,
,0.874355163,6.757373759,314,,,,
,0.676544212,6.743756683,282,,,,
,0.567472478,6.740896523,683.1111111,,,,
,0,6.737424166,245,,,,
,0,6.702039049,591.8,,,,
,1.227445686,6.69568,424,,,,
,0.728173014,6.695665009,262,,,,
,0.558085543,6.68591772,421.4,,,,
,0.918189331,6.660037701,145.5,,,,
,0.828843763,6.656633191,346.5,,,,
,0.422306214,6.654252651,891.75,,,,
,0.75,6.643807628,609.6666667,,,,
,0.563189908,6.642813793,810.2857143,,,,
,0,6.634197649,482.9166667,,,,
,0,6.632576528,355.5,,,,
,0.77309625,6.631243684,355,,,,
,0.691100924,6.609681308,717,,,,
,0.655866728,6.602514712,309,,,,
,0.559339731,6.559545007,641.5555556,,,,
,0,6.553599899,245,,,,
,0.633780501,6.531445682,250.3333333,,,,
,0.714005212,6.500729856,202.5,,,,
,0.78125,6.496005513,370.1333333,,,,
,1.010917913,6.493896362,670,,,,
,0.892538379,6.49206672,329.5,,,,
,0,6.47887289,221.3333333,,,,
,0.724442697,6.475713269,794,,,,
,0.304164005,6.475455416,875.5,,,,
,0.909090909,6.474499179,485.3333333,,,,
,0.496061273,6.468839403,389,,,,
,0.75511591,6.447194139,345,,,,
,0.596068333,6.446367115,210.6,,,,
,0.890366237,6.441267165,305.3333333,,,,
,0.837380673,6.41697952,454.75,,,,
,0.433007547,6.41478175,710,,,,
,0.218034574,6.4060057,362.5714286,,,,
,0.797418817,6.400744019,523.8461538,,,,
,0.248163589,6.399218486,197.6,,,,
,0.838234678,6.394344271,648,,,,
,0.39002777,6.387805362,382.8,,,,
,1.052299274,6.377565412,455.5,,,,
,0.789920613,6.366937352,305,,,,
,0.987703096,6.363392967,327.25,,,,
,0.719838756,6.359689398,354,,,,
,0.42697819,6.335502385,664.4,,,,
,0.263829039,6.329609593,245,,,,
,0.750318886,6.32229671,340.8333333,,,,
,0,6.316285614,449,,,,
,0.550068453,6.312749764,409.2222222,,,,
,0.480192077,6.303965429,727,,,,
,0,6.303484306,245,,,,
,0.800656538,6.300020709,360.875,,,,
,1.032311345,6.296591191,141,,,,
,0.573801847,6.293769879,844.2857143,,,,
,0.588466065,6.254530657,341.6666667,,,,
,0.534287928,6.253110246,819.75,,,,
,0,6.246011177,333,,,,
,0.673400673,6.23815326,493,,,,
,0.272392148,6.233761593,400.3333333,,,,
,0,6.208556594,556.5,,,,
,0.717913743,6.200351493,609,,,,
,0.623117665,6.191134911,442.5,,,,
,0.814464897,6.181363004,376.4,,,,
,0,6.177914405,502.375,,,,
,0,6.173565013,365.6666667,,,,
,0.805239425,6.161565766,322.3333333,,,,
,0.359962564,6.159618615,607.3333333,,,,
,1.069861988,6.156574294,341.5,,,,
,0.725389757,6.143119849,445.6923077,,,,
,0.5560086,6.138227626,432.3333333,,,,
,0.564026396,6.132526408,353.8333333,,,,
,0,6.13028938,528.5,,,,
,0.654535934,6.126825906,202.5,,,,
,0.475119572,6.125914104,267.6666667,,,,
,0.57500345,6.12509884,642.8,,,,
,0.244574522,6.122871442,301,,,,
,1.17260788,6.119714432,696.3333333,,,,
,0.712538299,6.107031525,458.8333333,,,,
,0.570721392,6.090156367,1084.578947,,,,
,0,6.075986382,322,,,,
,0.403991435,6.060588322,282,,,,
,0.557489563,6.057742459,908.7777778,,,,
,0.671110912,6.052869538,890,,,,
,0,6.0506007,322.6666667,,,,
,1.333214825,6.04658994,439.6666667,,,,
,0,6.041901296,326.7777778,,,,
,0.564716512,6.023146641,250.5,,,,
,0.536388603,6.004753262,316,,,,
,0.752407705,6.004471695,523.1666667,,,,
,0.66969144,6.000413718,506.375,,,,
,0.707676521,5.999958683,338.375,,,,
,0.277997859,5.998364459,507,,,,
,0.351271603,5.997015533,1162.333333,,,,
,0.805120567,5.985968342,254,,,,
,0.601600257,5.985914573,595.3333333,,,,
