id,loyalty,frequency,money,L,F,M,LFM
1856,1.315789474,3.353951579,355,,,,
1857,0,3.35374057,245,,,,
1858,0.995991136,3.352100835,499,,,,
1859,0,3.35155528,333,,,,
1860,0.654560416,3.351328513,379.5714286,,,,
1861,0.846955196,3.350918013,762,,,,
1862,0.739608501,3.350667792,517.3333333,,,,
1863,0,3.350227712,317.25,,,,
1864,1.102941176,3.34991269,524.3333333,,,,
1865,0.618702492,3.348104738,735.1428571,,,,
1866,0,3.347685328,245,,,,
1867,0,3.347025258,245,,,,
1868,0.42363547,3.346323459,360.8,,,,
1869,1.303441084,3.345816009,748.5,,,,
1870,0.658935161,3.344936499,627.8888889,,,,
1871,0,3.344661275,256.6666667,,,,
1872,0.705069449,3.344570007,520.5,,,,
1873,0,3.344212911,331.5,,,,
1874,0,3.344157514,190,,,,
1875,0,3.343472734,422.6666667,,,,
1876,1.041156296,3.342308772,831.2941176,,,,
1877,0.734645901,3.342288634,304,,,,
1878,0.335502919,3.341459987,417,,,,
1879,1.176562868,3.340185362,360,,,,
1880,0.796326281,3.339524846,512.3333333,,,,
1881,0.342125971,3.337974099,633.3333333,,,,
1882,0.759791817,3.333263135,412,,,,
1883,0.892432175,3.332743759,503,,,,
1884,0,3.331411697,437.75,,,,
1885,0.554225415,3.330994648,594.6,,,,
1886,0.350772577,3.330558992,377.25,,,,
1887,0.738952658,3.32727337,505.6666667,,,,
1888,0,3.32701146,282.6666667,,,,
1889,0.923872875,3.326755816,631,,,,
1890,0.856927401,3.32624172,1079,,,,
1891,1.428571429,3.325553976,513.6666667,,,,
1892,0,3.325174571,317.25,,,,
1893,0.941043617,3.324304056,455.875,,,,
1894,0.386349002,3.323810353,682.6666667,,,,
1895,0.743273376,3.321993328,273.6,,,,
1896,0.899011088,3.321595479,768.5,,,,
1897,0.989837667,3.321524592,297.6666667,,,,
1898,0.595805529,3.32098165,683.2,,,,
1899,0.759685996,3.320205808,243,,,,
1900,0.664540138,3.319851962,536.5,,,,
1901,0.568214103,3.317944818,371.6666667,,,,
1902,0.875848478,3.317010928,452.25,,,,
1903,1.012248203,3.316906508,442.5,,,,
1904,0.390924301,3.316672318,576.4,,,,
1905,0.821530676,3.314325799,334,,,,
1906,0.63615544,3.314217782,459,,,,
1907,1.01201771,3.313996545,364.375,,,,
1908,0,3.31290899,366.3333333,,,,
1909,0.642027094,3.312878027,816.1666667,,,,
1910,0.940114694,3.312642057,289.4166667,,,,
1911,0.60114217,3.312622684,329.25,,,,
1912,0.839583567,3.31126095,500,,,,
1913,0.80237503,3.309182222,493.6666667,,,,
1914,1.007974196,3.308997597,682.6666667,,,,
1915,1.100897231,3.308292246,912.25,,,,
1916,0.54760514,3.308227492,328.6666667,,,,
1917,0.630477271,3.306181596,371.1666667,,,,
1918,0.42760626,3.305931454,324.25,,,,
1919,0.333967872,3.304553148,300.5,,,,
1920,0,3.304167532,522.6,,,,
1921,0.882352941,3.303276911,323.3333333,,,,
1922,0.409332788,3.302911146,423.5,,,,
1923,0.938746773,3.302748823,345.5,,,,
1924,0,3.302206486,634.4,,,,
1925,0,3.301055355,354,,,,
1926,0.545410913,3.300583024,437.2,,,,
1927,0.984930562,3.300327444,395,,,,
1928,0.334079444,3.29961368,836,,,,
1929,0.736105999,3.299147935,771.875,,,,
1930,0.791615212,3.298098058,1053.8,,,,
1931,0,3.297616451,291.4285714,,,,
1932,0.720850604,3.296060729,835.5,,,,
1933,0.918796744,3.296020119,472.6,,,,
1934,1.193602292,3.295218985,395,,,,
1935,0.454462825,3.293950722,548.4,,,,
1936,0.970798385,3.29212683,308.2,,,,
1937,0,3.291986274,376.3333333,,,,
1938,0,3.291943596,285.75,,,,
1939,1.091544171,3.291211826,841.3333333,,,,
1940,0.43764953,3.290340282,470.6666667,,,,
1941,0.749990625,3.290245875,244.25,,,,
1942,0.946491671,3.288789282,271.3333333,,,,
1943,0.772349874,3.288382357,877,,,,
1944,0,3.28801346,981.5,,,,
1945,0.903464787,3.287883549,245,,,,
1946,0,3.287791878,505.2,,,,
1947,0.901916573,3.287070952,362.5833333,,,,
1948,0.962384514,3.286833449,312.2142857,,,,
1949,0.935687106,3.285595888,306.6666667,,,,
1950,0.864434984,3.285573179,368.25,,,,
1951,0.828520027,3.28544016,806.2857143,,,,
1952,0.873038392,3.285386701,423.375,,,,
1953,0,3.285255207,619.5454545,,,,
1954,1.187225454,3.285231441,369.5,,,,
1955,0.510516643,3.284525428,459.8,,,,
1956,0,3.284189089,245,,,,
1957,1.000934205,3.283862993,396,,,,
